artist_name,soundcharts_uuid
Halacg,46924ff0-b8d0-11e8-9382-525400009efb
Haviah Mighty,63ae57a8-c183-11e8-aaf5-525400009efb
DENȲ,b39c6101-7ccc-4704-a031-a869e53648b0
Noga Erez,11e81bca-f1a3-0176-9947-a0369fe50396
Awich,11e81bc8-cce5-e40e-ad29-a0369fe50396
Mila J,11e81bbb-0d99-efa8-bfdc-a0369fe50396
Yade Lauren,11e81bc3-09b1-118e-9cb8-a0369fe50396
Samantha Machado,4ca551c6-b8df-11e8-a2a2-525400009efb
Domiziana,00121693-e5bb-4fab-b6b3-f6031cae4176
Chilla,11e81bc2-3542-fd22-86b4-a0369fe50396
Kat Dahlia,11e81bc9-2f8b-db5e-96dd-a0369fe50396
Mallrat,11e81bc3-0e91-2b26-8d93-a0369fe50396
kouth,bcad8796-5595-11ea-a1c9-549f35161576
Illest Morena,d448433b-bf2b-414b-ad27-46e9de72eec1
RIELL,7db752c8-c5fa-11e8-b412-549f35141000
CÉLINE,6ceff982-4eb5-11ea-80ce-e4434b2a4898
Shanice,11e81bbe-aef3-6b06-89af-a0369fe50396
Foxy Brown,11e81bbf-0bb2-114e-8b44-a0369fe50396
badmómzjay,1f247646-165d-11ea-9670-801844ee83a6
Brodie,11e81bc1-7761-5b28-b29a-a0369fe50396
Tabitha,11e81bcb-3fd8-d596-bbc2-a0369fe50396
Emilíana Torrini,11e81bc1-2db4-cfdc-9da3-a0369fe50396
Carolesdaughter,bc6fe122-88e0-4570-9f7b-55787fb6df31
Zoë Tauran,6329a18f-e823-4745-93fc-853ca4ce9136
Martina Topley-Bird,20b4e8ea-b8e1-11e8-8715-525400009efb
Sandra Echeverria,11e81bd1-722f-5898-997b-a0369fe50396
Absolutely,11e81bcc-7cae-3d8e-93b7-a0369fe50396
Laila!,9788600d-a403-49e6-b5d9-35b5af74a1fd
Kayla Nicole,3eee3114-83e2-11e9-be02-549f35161576
Chevy,4c5b98bc-c1c0-11e8-9fc9-525400009efb
Sheryfa Luna,11e81bd0-e665-d382-b3d1-a0369fe50396
Michaela Rózsa Růžičková,e041ad04-ff5f-11e9-8e4d-549f35141000
Mia Boyka,679fd24c-c3e9-11e9-a2f1-549f35161576
Dany Calvario,11e83fe3-be76-a48c-b7de-aa1c026db3d8
Liana Malva,fcce2042-4bf0-11e9-9d77-e4434b2a489b
Shay,ab148438-71bd-11e9-a4f3-00163ec5a2fb
La Zowi,11e81bce-55ad-c702-89fe-a0369fe50396
Fagata,ffde7630-5d6d-408e-8de0-39cd9b77fc26
Chloe x Halle,11e81bbe-0592-cc8c-a8b8-a0369fe50396
JGrrey,11e83fe9-654f-e566-9a0a-a0369fe50396
Samara Cyn,c7158dce-0661-11ea-8762-549f35141000
Instasamka,aa78da28-7ef7-11e9-acdb-549f35161576
Kenza Farah,11e81bc9-78f1-b8fe-a3fd-a0369fe50396
Shells,11e81bce-c96b-8792-bb7f-a0369fe50396
Jolle,30578162-c238-11e8-b26f-525400009efb
Bích Phương,11e83fe1-0df6-4920-a01f-aa1c026db3d8
Metrika,5e3ebf8e-e72d-4659-b5c5-daaeb70ea5d4
Manal,11e81bd2-ab8d-62be-ade7-a0369fe50396
l0rna,acdf5cb1-07e7-4550-bc3b-b4d78a1d1de3
Zae,8800c010-ed7b-4da4-82d9-44e22abbe041
Trina,11e81bc9-5c6c-31b4-8f73-a0369fe50396
Miri Ben-Ari,aa88dc68-b8e9-11e8-b1a1-525400009efb
Lady Kash,11e81bcd-ac1c-34d0-b73f-a0369fe50396
Sarah Guedes,bb603cdd-7748-45c5-9dcf-b49650b5df50
Milly,11e83fe1-f5a7-a55c-bb19-aa1c026db3d8
K. Michelle,11e81bcb-7a84-cb1e-8ea6-a0369fe50396
Joseline Hernandez,11e81bc8-20cc-8a38-9d36-a0369fe50396
Lil Hero,9e503fe3-d3c1-49d9-865a-2cd8b114b716
Jorjiana,8beb8155-7251-4abd-8095-316c4afd5084
Pháo,a0cd617b-1b58-47d7-8e52-6eba6c6f5656
Mori Calliope,d371e46a-bf53-4243-a2c1-70c9aae94744
Dess Dior,835cb89c-5de1-11e9-9e03-549f35141000
VAGUE003,11e83fe5-7b9a-58dc-aacc-aa1c026db3d8
